인접산,weight
태백산,0.000693241
함백산,0.005966333
세걸산,0.004697286
남산,0.000686577
청룡산,0.011729031
구름산,0.013644366
주흘산,0.034184272
부엉산,0.008355321
구룡산,0.004977686
소반산,0.00034662
봉오리산,0.041759054
용두산,0.008465259
도봉산,0.146412633
모락산,0.013556073
아차산,0.035301522
향적산,0.010319917
시약산,0.021064302
수락산,0.021856048
큰매산,0.003466205
초안산,0.071804554
설악산,0.050571774
소백산,0.0344777
사량도 지리산,0.004397537
호암산,0.085078384
성산,0.000769569
검단산,0.022828699
용마산,0.015505207
비봉산,5.72148E-05
모악산,0.000337952
바데산,0.004401408
청량산,0.001487584
태양산,0.000337952
지리산 노고단,0.056889353
필봉산,0.000439754
고봉산,0.003261243
봉바위산,0.007394222
북한산 응봉능선,0.049490788
가지산,0.000675904
월봉산,0.000769569
가리광산,0.002912139
소요산,0.001043841
장재산,0.015551643
계룡산,0.007255937
식장산,0.048503612
고성산,0.002494131
안산,0.009898158
구름산정상,0.020721925
용뫼산,0.003423251
가야산,0.030233069
청계산,0.009955372
유학산,0.008078995
초례산,0.089766607
천태산,0.003847845
계족산 황토길,0.026831785
삼성산,0.001480933
만월산,0.001562611
신어산,0.007915567
수원산,0.002201861
치학산,0.006932409
매봉산,0.005435405
영인산,0.010051993
응봉산,0.009840943
오봉산,0.003847845
삼봉산,0.018799472
성지바위산,0.005477201
감암산,0.001759015
적갑산,0.005893123
황정산,0.003702332
바랑산,0.001013856
국망산,0.002221399
공동산,0.024008351
덕유산,0.038258575
북악산,0.008238929
매미산,0.000586854
비학산,0.000549692
몽골산,0.016294673
아미산,0.000880282
원미산,0.025066845
봉의산,0.002770083
감추산,0.000568222
도래산,0.003611971
화산,0.003188215
범방산,0.035107169
한라산,0.048333333
곤지산,0.000440141
태봉산,0.000439754
부귀산,0.003119584
망우산,0.007609566
금수산,0.042576823
똥매산,0.003392484
철미산,0.003814554
일불동산,0.01
개코빽이산,0.001031992
칼바위능선,0.016649502
금련산,0.000586854
용암산,0.00011443
동대산,0.014084507
북한산,0.046973338
신불산,0.247503941
청우산,0.002699055
관악산,0.044227028
수덕산,0.008949499
재약산,0.021328056
만어산,0.000989446
돈달산,0.004254695
자양산,0.001209323
호구산,0.001099384
찌키산,0.000598444
선자령,0.009659777
까치절산,0.004436326
장군바위산,0.000355139
달음산,0.010347376
병산,0.000109938
비음산,0.008465259
계방산,0.005895305
삼기산,0.010438413
회기산,0.005219207
삼각산,0.0491475
백마산,0.001539138
가리산,0.002841111
조비산,0.00068465
대곡산,0.000879507
문안산,0.001087081
갈산,0.002961866
과녁바위산,0.015509341
도갑산,0.010476512
와룡산,0.003627968
천생산,0.010269953
용은산,0.013308977
무이산,0.000329815
칠현산,0.000879507
앞산,0.001319261
이방산,0.004617414
문학산,0.085227273
구봉산,0.004055424
흥덕산,0.003627968
교룡산,0.001565762
진달래능선,0.029694473
광덕산,0.000586854
수리산,0.034506367
영취산,0.011323659
사자봉,0.008025506
동산,0.003204028
청학산,0.000781305
작오산,0.00299222
고락산,0.01351808
밤말산,0.001173709
피박골산,0.00027386
영축산,0.00263188
무등산,0.000293427
망계산,0.013662638
화야산,0.001136444
지리산,0.090149516
소왕산,0.15
검봉산,0.000733568
가래실산,0.003125222
유달산,0.023994593
덕성산,0.029166096
허산,0.000782881
일월산,0.003080986
백골산,0.004679144
소래산,0.002609603
명천안산,0.007915567
천을산,0.007480551
번암산,0.002770083
창안산,0.000355139
비룡산,0.000219877
삼인산,0.004127967
보문산,0.000880282
금해산,0.009234828
성동산,0.005675955
최정산,0.000329815
봉림산,0.004177661
남암산,0.057277982
봉황산,0.000219877
송곳산,0.000109938
장태산,0.000586854
용리산,0.001043841
해룡산,0.000109938
천비산,0.003095975
천마산,0.01733608
향로산,0.002638522
운길산,0.005092116
대궁산,0.001988778
발왕산,0.001846722
뇌암산,0.005575117
운재산,0.00068465
불암산,0.021970477
밤바위산,0.003560181
중성산,0.006161851
두륜산,0.014193984
검욱바위산,0.005340271
황장산,0.00528169
이말산,0.07964298
칠성산,0.000782881
진강산,0.005477201
단풍산,0.000497194
소망산,0.004758861
철마산,0.002345806
예진산,0.008626592
상봉산,0.001351808
백운산,0.008245383
거마산,0.025735294
승무산,0.014231221
도당산,0.009133612
사자산,0.001013856
