mns,score
0.000256923,0.131261457
0.000304815,0.15488157
0.000304815,0.15488157
0.002697649,0.521499515
0.000391765,0.189559946
0.000293342,0.149136785
0.004138931,0.598044736
0.008858848,0.714659686
0.008858848,0.714659686
8.95E-05,0.035271425
0.00640826,0.669342375
0.020551718,0.817856159
0.002520355,0.508787904
0.000229987,0.116081805
6.85E-05,0.023626104
0.015595191,0.782752465
0.002471232,0.504606611
0.000130385,0.056417506
0.003311655,0.558867576
0.000121527,0.051840847
0.002509187,0.507583836
0.002509187,0.507583836
0.007862388,0.698527562
0.000185066,0.090023602
0.000723762,0.286316748
0.030572364,0.868343178
0.000149178,0.067535673
0.051634511,0.929313381
0.031070371,0.870379911
0.002154315,0.479518852
0.000515827,0.232139648
0.00070472,0.281871878
0.007258414,0.687385434
0.000253452,0.129392455
0.002545546,0.510788695
0.000321308,0.162429463
0.000321308,0.162429463
0.000119153,0.050540932
0.003764055,0.581583141
0.00097697,0.338924365
0.002164345,0.48041741
0.000162764,0.076317587
0.052520212,0.93113446
0.000214355,0.107192064
0.000393655,0.190362658
0.003738702,0.580444966
0.000211784,0.105538716
0.029438055,0.863730576
0.000703186,0.281500473
0.000223408,0.11278709
0.000341923,0.171468964
0.001394316,0.399481232
0.001394316,0.399481232
0.065059691,0.953897948
0.001094825,0.358620772
0.000516966,0.232451148
0.000688415,0.278313585
0.010607295,0.737141625
0.000153128,0.070435022
0.000144917,0.064935843
0.003763796,0.58157116
0.026259399,0.849114021
0.001435292,0.404471228
0.002923944,0.536223897
0.01360753,0.766135119
0.001926417,0.458552482
0.020220155,0.815915272
0.001243482,0.380048402
0.001243482,0.380048402
0.001243482,0.380048402
0.001243482,0.380048402
0.004466478,0.610924078
0.005886563,0.65640912
0.005886563,0.65640912
0.065492215,0.954628775
0.00190709,0.456587633
0.012723913,0.759126361
0.000643006,0.266788072
0.000571447,0.248409551
0.004844381,0.624282651
0.001129332,0.364024105
0.002848519,0.531467526
0.001923469,0.458181078
0.018062732,0.801921718
0.005166309,0.634813759
0.000664936,0.272437011
0.001136145,0.365036481
0.000664936,0.272437011
0.001136145,0.365036481
0.002517446,0.508500365
0.001086355,0.357266944
0.01351096,0.765440234
0.001192594,0.372758096
0.003299684,0.558100806
0.001285132,0.385733284
0.004590306,0.615488756
0.001472186,0.409119772
0.002671831,0.519660465
0.002671831,0.519660465
0.000779335,0.299100243
0.00110694,0.36057364
0.018766733,0.806809877
0.019859462,0.813626942
0.00747865,0.691530785
0.000381714,0.185857884
0.000620554,0.261834018
0.000620554,0.261834018
0.005647479,0.649705872
0.00055941,0.244707489
0.001202425,0.374147867
0.053156387,0.932404423
0.004464901,0.610816251
0.001105464,0.360286101
0.001914919,0.457246576
0.004843234,0.624258689
0.028891307,0.861621958
0.063370809,0.951106425
0.000485074,0.221860136
0.000604839,0.257107599
0.001120504,0.362598392
0.005739696,0.652078067
0.045613188,0.916122539
0.014390773,0.773155858
0.026845234,0.851737813
0.000895703,0.323265482
0.002325658,0.493500425
0.00809144,0.702804701
0.000711504,0.283609091
0.013518705,0.765500138
0.025153223,0.843495034
0.000506656,0.228934789
0.000506656,0.228934789
0.000609496,0.258257755
7.23E-05,0.025722741
0.003776041,0.582206141
0.000466881,0.215983562
0.060305638,0.945858842
0.000466881,0.215983562
0.000462889,0.214587801
0.245167369,0.998885787
0.002506578,0.507362191
0.003458672,0.56672697
0.052435051,0.930894845
0.00775135,0.696574694
0.024278196,0.839038183
0.000864544,0.317227168
0.011796395,0.749841255
0.007563586,0.693160171
0.000701339,0.281129069
0.002082116,0.47260594
0.001025747,0.347430721
0.00059076,0.253573268
0.000449926,0.210454431
0.017221271,0.795637797
0.017221271,0.795637797
0.002768259,0.525992308
0.000624946,0.262756539
0.000624946,0.262756539
0.000632688,0.264421867
0.000632688,0.264421867
0.009110597,0.718379719
8.84E-05,0.034660405
0.015018673,0.778319575
0.006712214,0.675895863
0.001813267,0.447362431
0.00309993,0.546874813
0.000846545,0.313393317
0.057871129,0.942019002
0.003012118,0.541884817
0.003012118,0.541884817
0.005351462,0.640552554
0.057871129,0.942019002
0.003081346,0.545712677
0.000137202,0.060347203
0.000996357,0.342338888
0.002031341,0.468089185
0.001447219,0.405765153
0.017958373,0.80119089
0.000768956,0.296931722
0.000532855,0.237135634
0.000941951,0.332478704
0.00049177,0.224256293
0.005405055,0.642361652
0.001070113,0.354786922
0.011024765,0.74135886
0.005883519,0.656325254
0.005883519,0.656325254
0.000177095,0.084841914
0.000177095,0.084841914
0.003387815,0.562869158
0.007337291,0.688667378
0.00498578,0.629122887
0.000869875,0.318125726
0.094010129,0.980986498
0.003711095,0.579019253
0.000316078,0.159955431
0.000857042,0.315513916
0.000641057,0.266380725
0.001876918,0.454107611
0.000119832,0.050906346
0.139620785,0.993314723
0.005431701,0.643272191
0.101477807,0.984401021
0.00263798,0.517216385
0.00207298,0.47183917
0.00263798,0.517216385
0.04630557,0.917751926
0.111984098,0.98775564
0.00014128,0.06289911
0.000779872,0.29920807
0.000149081,0.067475769
0.03144778,0.871685816
0.013845298,0.768279679
0.006816214,0.678351924
0.001641402,0.428049409
0.000386106,0.187415386
0.010569593,0.736842105
0.001545027,0.417721974
0.009463355,0.723172032
0.000455951,0.212443241
0.00034208,0.171528868
0.002123896,0.476763272
0.000386218,0.187463309
0.002099532,0.474379096
7.32E-05,0.026249895
0.000437409,0.205973618
0.000153859,0.070998119
0.000728678,0.287610672
0.009177268,0.71946997
0.001849818,0.451340051
0.024807132,0.841793763
0.00100737,0.344171948
0.066172127,0.955503373
0.101705675,0.984484886
0.000741142,0.290539974
0.000741142,0.290539974
0.001168353,0.369115938
0.007863139,0.698551523
0.000620343,0.261744162
0.00321676,0.553512166
0.000760404,0.294966873
0.00112676,0.36363473
0.00112676,0.36363473
0.000139842,0.062036493
0.00918129,0.719541855
0.000111845,0.046605245
0.022988686,0.832185175
0.004220686,0.601327471
0.000316829,0.160278913
0.002274134,0.489582709
0.002123605,0.476703368
0.005077327,0.631818563
0.002747238,0.524818192
0.005045809,0.630943966
0.005045808,0.630931985
0.003381959,0.562581619
0.003381961,0.5625936
0.000511473,0.230749877
0.031285298,0.871074796
0.00398528,0.591047959
0.000503522,0.227982316
0.000690307,0.278840739
7.22E-05,0.025674818
0.014541796,0.774246109
0.00172247,0.437178765
0.041713639,0.905639354
0.003733988,0.580157427
0.00047494,0.218637306
0.000789578,0.301556304
0.003546989,0.571417446
0.003546989,0.571417446
0.000478279,0.219787461
0.005137422,0.633675584
0.000473867,0.218265901
0.034115601,0.881450154
0.000193305,0.094803934
0.002337353,0.494410965
0.033227436,0.878466939
0.000777581,0.298776762
0.000218048,0.109624163
4.31E-05,0.007907317
0.000431356,0.204140559
0.000240463,0.122455581
0.000654066,0.269675441
0.000105397,0.043238645
0.000156945,0.072747313
0.001576491,0.421220363
0.001477202,0.409790696
0.017869968,0.80057987
0.006222215,0.664753735
0.000587268,0.252315286
0.002682995,0.520565014
0.083698715,0.974301221
0.000274992,0.140318928
9.64E-05,0.038733871
0.000838635,0.311871758
0.024475786,0.840200319
0.000969647,0.337762229
0.004025552,0.592982855
0.004025552,0.592982855
0.003156515,0.549929912
0.000383649,0.186624654
0.002403162,0.499526759
0.000894883,0.323109732
0.000420608,0.200210862
0.032221602,0.8748128
0.002318017,0.49296129
0.004514101,0.61294883
0.011312335,0.744306133
0.003348345,0.561143925
0.000457848,0.213233973
0.011479052,0.746211077
0.011127591,0.742520996
0.003424949,0.564786083
0.003915153,0.587932956
0.032178128,0.874555213
0.032178128,0.874555213
0.001112276,0.361388333
0.003541061,0.57101609
0.098375271,0.983071154
0.055442286,0.937029005
0.000441441,0.207159716
0.057059407,0.940575317
0.00038693,0.187750848
0.00521381,0.636455126
0.004906369,0.626391268
0.000330612,0.166772497
0.004379534,0.607521535
0.001927459,0.458636347
0.000533668,0.237315346
0.006775766,0.677453365
0.001230674,0.377981717
0.00500017,0.629608109
0.005176836,0.63529299
0.000931406,0.330070567
0.014659578,0.775132687
0.00500017,0.629608109
0.014317586,0.772353146
0.014317586,0.772353146
0.014317586,0.772353146
0.00610128,0.661842405
0.000735455,0.289078318
0.000735455,0.289078318
0.000735455,0.289078318
0.0008505,0.31419603
0.008737651,0.712856578
0.000735455,0.289078318
0.000796525,0.303065882
0.002829655,0.530089736
0.004190793,0.5999377
0.004190791,0.599925719
0.000362943,0.179136665
0.00249797,0.506757162
0.00249797,0.506757162
0.000750681,0.292762409
0.000734047,0.28879677
0.000330587,0.166736555
0.000433915,0.204871386
0.000408421,0.195610241
0.001824619,0.448608432
0.032784644,0.876885476
0.01164587,0.748211868
0.532764127,0.999964058
0.000751008,0.292822313
0.000609223,0.258179879
0.000609223,0.258179879
0.001582803,0.421843363
0.012365269,0.755639954
0.000257732,0.131716726
0.005141506,0.633807373
0.00152563,0.415277894
0.000307723,0.156049696
0.005055545,0.631195562
0.002646145,0.517773491
0.035580056,0.886386236
0.014270433,0.771849953
0.019372464,0.81083542
0.000322675,0.163082416
0.003623071,0.574885883
0.007830523,0.698012388
0.000218871,0.110151317
0.002181002,0.482190566
0.064221127,0.952412331
0.027252006,0.854133969
0.008215177,0.704865396
0.00245579,0.503324667
0.197182331,0.997412151
0.005262143,0.638096493
0.001146936,0.366480166
0.000385769,0.187283597
0.000119881,0.050942289
0.038687053,0.896725652
0.001107812,0.360669486
0.0729017,0.964117555
0.045612741,0.916110559
0.001119301,0.362310853
0.000426928,0.202714845
0.009080473,0.718056238
9.66E-05,0.038901602
0.002812891,0.529023446
0.076123526,0.967412271
0.000671501,0.274222148
0.000671501,0.274222148
0.00124633,0.380497682
0.000335172,0.168713384
0.014809259,0.776426612
0.001012014,0.345130411
0.006539045,0.672229743
0.000211706,0.105490793
0.038651158,0.896641787
0.001500487,0.412240766
0.001500487,0.412240766
0.000780558,0.299483628
0.002938508,0.537278206
4.77E-05,0.010602993
0.004553167,0.614338601
0.00762448,0.694394192
0.00455896,0.614530293
0.090915565,0.979440977
0.000666821,0.27288629
0.000279193,0.142451508
0.002258861,0.48851642
0.000473038,0.217966382
0.00033091,0.166910276
0.00033091,0.166910276
0.001364021,0.395665353
0.003707876,0.578887465
0.000386647,0.187649011
0.000386647,0.187649011
0.000180317,0.087064349
0.000402522,0.193681335
0.002771587,0.526243905
0.000879172,0.319731151
0.028041234,0.857871973
0.000663842,0.272227347
0.002072836,0.471827189
0.001777106,0.443648388
0.000454559,0.212071837
0.014704035,0.775456168
0.000878698,0.319611343
0.002202559,0.483939761
0.000704986,0.281931781
0.006223941,0.664861562
0.003935601,0.588795572
0.000346037,0.173074389
0.00029249,0.148741419
0.00153344,0.416248338
0.005536908,0.646267387
0.018020791,0.801694083
0.001417244,0.402374591
8.77E-05,0.034193154
0.040924758,0.903315083
0.000312163,0.157798891
9.05E-05,0.03596631
0.000589703,0.253094037
0.012695153,0.758874765
0.152460357,0.994674542
0.152460357,0.994674542
0.004479196,0.611487175
0.001359061,0.394958487
0.021698841,0.82445757
0.000907466,0.325553812
0.002199815,0.483580337
0.019491854,0.811662094
0.00166941,0.430954749
0.00166941,0.430954749
7.06E-05,0.024740317
0.233710871,0.9986282
0.233710871,0.9986282
0.002913184,0.535517031
0.002910951,0.535409204
0.002243539,0.487330322
0.00089071,0.322223154
0.000672737,0.274527658
0.010611527,0.73722549
0.004041615,0.593911366
0.000226315,0.114272707
0.000830822,0.310446045
0.002052051,0.469982149
0.004487406,0.611798675
0.002432115,0.501719242
0.001573454,0.420813016
0.013987865,0.769693412
0.093069728,0.980591132
0.001344562,0.393353062
0.00036761,0.180837936
0.040003942,0.900775157
0.00021132,0.105227216
0.020704414,0.818862544
0.009066041,0.717654882
0.016872099,0.79292415
0.00535754,0.6406484
0.000139849,0.062048474
0.009066041,0.717654882
0.025133511,0.84343513
0.001723533,0.437358477
0.004815211,0.623288246
0.002351525,0.495369427
0.029491116,0.863898307
0.000393961,0.190482466
0.003682524,0.577833156
0.005068517,0.631519043
0.021489498,0.823271473
0.000345257,0.172691004
0.000952357,0.33440761
0.003048039,0.543999425
0.000638504,0.265853571
0.008133616,0.703463644
0.003048039,0.543999425
0.003048039,0.543999425
0.001810534,0.447074892
0.000317033,0.16039872
0.034304584,0.882145039
0.001490809,0.411144524
0.017550753,0.798045934
0.001062435,0.35352894
0.000603593,0.256820061
0.000124886,0.053649945
0.006400937,0.669036865
0.006400937,0.669036865
0.017550753,0.798045934
0.005621907,0.64891514
4.37E-05,0.008146932
0.004647393,0.617333797
0.001418351,0.402500389
0.002853278,0.531880863
0.002853278,0.531880863
0.001418351,0.402500389
0.000236247,0.119783867
0.001369988,0.396444104
0.000260336,0.133010651
0.02098305,0.82062372
0.001213097,0.375597542
0.003304088,0.558388345
0.031828833,0.873111529
0.000788256,0.301208861
0.000492841,0.22451987
0.001355717,0.394611044
0.001424311,0.403201265
0.000160065,0.074784046
0.035479165,0.886092707
0.023332349,0.833880456
0.000142115,0.063342399
0.019698367,0.812752345
0.023332349,0.833880456
0.001415814,0.402134975
0.009040766,0.717229564
0.006425911,0.669749721
0.035479165,0.886092707
0.000741502,0.290665772
0.021542796,0.823600944
0.034980991,0.884349503
0.000171909,0.081792804
0.006570997,0.672864725
0.021542796,0.823600944
0.000468659,0.216732361
0.013196433,0.762984173
0.003799905,0.583236489
0.003799905,0.583236489
0.007641217,0.694609846
0.031195955,0.870787257
0.001832971,0.449506991
0.000255823,0.130692369
0.000255823,0.130692369
0.002225478,0.485880647
0.009407288,0.72237531
0.009407288,0.72237531
0.01325472,0.763535289
0.003799905,0.583236489
0.000428562,0.203253981
0.002405064,0.499622605
0.000706201,0.282267243
0.001011397,0.344998622
0.008235467,0.705212839
0.001929303,0.458887944
9.53E-05,0.03826662
0.000896924,0.323588963
0.001871217,0.453508572
0.002625132,0.516335797
0.003171235,0.550696683
0.003486101,0.568140702
0.004947574,0.627840943
0.005030627,0.630404831
0.092531285,0.980159824
0.000960725,0.335899218
0.000960725,0.335899218
0.000236472,0.120023482
0.002077825,0.472126709
0.000150286,0.068362347
0.01596307,0.785543987
0.030572385,0.868355158
0.034230655,0.881905424
0.05613034,0.938310949
0.036315009,0.888794374
0.003009642,0.54178298
0.036541545,0.889441336
2.75E-05,0.002204464
0.018891665,0.807600609
0.032783729,0.876873495
0.00102054,0.346723855
0.006620848,0.673931015
0.005391351,0.641678747
0.016709173,0.791606264
0.008242918,0.705344627
0.000509595,0.229947165
0.098872591,0.983286808
0.001159339,0.36791786
0.006281482,0.666251333
