"정류소번호","정류소명","Y좌표","X좌표","도로명주소","housePop","comPop","billaPop","aptPop","numUniv","numHsch","numMsch","numHosp","bsst_ars_no","sum_ride_pasgr","sum_alight_pasgr","sum_pasgr","numSubw"
1001,"종로2가사거리",37.56976513,126.9877499,"대한민국 서울특별시 종로구 종로1.2.3.4가동 삼일대로",734.06,36519.93308,0,149,0,0,0,26,1001,15331,18343,33674,0
1002,"창경궁.서울대학교병원",37.57918302,126.996566,"대한민국 서울특별시 종로구 창경궁로",726.19,4498.10476,357,0,0,0,0,1,1002,82567,72002,154569,0
1003,"명륜3가.성대입구",37.58267117,126.9983401,"대한민국 서울특별시 종로구 창경궁로",2348.24,10437.43605,271,460,0,0,0,10,1003,140393,101718,242111,1
1004,"종로2가.삼일교",37.56857927,126.9876131,"대한민국 서울특별시 중구 청계천로",528.67,39296.31528,0,149,0,0,0,23,1004,24172,25003,49175,0
1005,"혜화동로터리",37.586243,127.001744,"대한민국 서울특별시 종로구 창경궁로",3590.56,4685.81737,1044,697,1,1,1,13,1005,54650,95239,149889,0
1006,"서대문역사거리",37.566137,126.966893,"대한민국 서울특별시 종로구 평동 통일로 지하 126",1498.23,14861.25244,113,228,1,3,2,10,1006,61012,34933,95945,1
1007,"서울역사박물관.경희궁앞",37.569135,126.97038,"대한민국 서울특별시 종로구 새문안로",684.29,18018.53885,79,60,1,1,1,5,1007,95159,102841,198000,0
1008,"서울역사박물관.경희궁앞",37.569412,126.970609,"대한민국 서울특별시 종로구 새문안로",774.41,13905.29455,46,360,0,0,1,7,1008,51226,45261,96487,0
1009,"광화문",37.57013547,126.9752508,"대한민국 서울특별시 종로구 새문안로",421.68,35746.39016,0,324,0,0,0,23,1009,128624,116328,244952,1
1010,"광화문",37.57021681,126.9780855,"대한민국 서울특별시 종로구 종로",90.3,41396.5801,0,0,0,0,0,25,1010,86627,93290,179917,1
1011,"종로1가",37.57011848,126.9809105,"대한민국 서울특별시 종로구 종로",245.08,58131.93841,0,54,0,0,0,30,1011,144502,115633,260135,2
1012,"종로1가",37.57022903,126.9813906,"대한민국 서울특별시 종로구 종로",265.89,56837.42998,0,54,0,0,0,29,1012,119384,130703,250087,1
1013,"종로2가",37.57013868,126.9855427,"대한민국 서울특별시 종로구 종로",592.91,43891.68115,0,203,0,0,0,30,1013,165310,124482,289792,1
1014,"종로2가",37.5702572,126.9862475,"대한민국 서울특별시 종로구 종로1.2.3.4가동 삼일대로",594.54,41471.52922,0,203,0,0,0,28,1014,173472,137303,310775,1
1015,"종로3가.탑골공원",37.57024498,126.9895647,"대한민국 서울특별시 종로구 종로1.2.3.4가동 수표로",1122.83,32081.70827,0,149,0,0,0,25,1015,177088,105260,282348,9
1016,"종로3가.탑골공원",37.57036054,126.9899878,"대한민국 서울특별시 종로구 종로",1117.37,26709.06209,0,149,0,0,0,22,1016,129065,157577,286642,9
1017,"종로4가.종묘",37.570507,126.9947219,"대한민국 서울특별시 종로구 청계천로",1124.27,22733.63517,0,495,0,0,0,14,1017,67432,64854,132286,9
